Trace
Swept SA
A.19.02,N9010B
503 B25 EP5 ,01
Segment,0
Number of Points,1001
Sweep Time,0.021733333333
Start Frequency,0
Stop Frequency,10000
Average Count,0
Average Type,LogPower(Video)
RBW,91
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,91
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace1
Trace Math Oper2,Trace2
Trace Math Offset,0
Normalize,Off
Trace Name,Trace3
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-18.7242215714534
10,-18.8676761034085
20,-19.2976796930432
30,-20.0150706930827
40,-21.0395393421782
50,-22.3628743286168
60,-24.0056200342094
70,-26.005225607858
80,-28.3367897999381
90,-31.0881855560997
100,-34.2634300524316
110,-37.8917802612649
120,-42.2172979491236
130,-47.2820022768275
140,-52.9686245299713
150,-59.7036127349302
160,-67.4602878562062
170,-73.0208345985959
180,-74.8674017705211
190,-74.7747917030914
200,-74.3302748298115
210,-73.0910603206195
220,-71.8307767511496
230,-71.126148055147
240,-70.6724651104735
250,-70.5109011682309
260,-70.6417448352688
270,-71.0612319900425
280,-71.7837124336944
290,-72.8057160989717
300,-74.0688906062319
310,-75.8843439626871
320,-77.6663344683203
330,-78.3228698963376
340,-77.8545799004964
350,-77.382289318768
360,-77.5143298451134
370,-77.9143326631729
380,-78.6096659893715
390,-79.7771516215407
400,-80.9116495754186
410,-81.4967146008217
420,-81.7209119034365
430,-81.7489341377471
440,-81.4640354604726
450,-81.1222433634312
460,-81.2819971637829
470,-82.0034102339248
480,-82.296814447701
490,-81.3988066917574
500,-79.893010631445
510,-78.6640833284634
520,-77.6823476736426
530,-76.9231713134874
540,-76.4921790519418
550,-76.3490200253004
560,-76.4964880420421
570,-76.9308888858099
580,-77.6610759381195
590,-78.8198307982846
600,-80.5546527030582
610,-81.7964937859842
620,-81.7080053470456
630,-80.955781702455
640,-80.5171825905707
650,-80.3516573351527
660,-80.4204090655674
670,-80.8217873923917
680,-81.5153188064012
690,-82.5114329297769
700,-83.838835873516
710,-85.4434244145701
720,-87.3472576210261
730,-89.6754235731748
740,-91.579574511348
750,-92.4296179691995
760,-92.7369292803888
770,-93.1981878493954
780,-93.8332943840105
790,-94.4340317400594
800,-94.921431315094
810,-95.324342366189
820,-95.5592622244718
830,-95.5478585138117
840,-95.4326151877605
850,-95.4225596485851
860,-95.5102554927469
870,-95.3969133435446
880,-94.9071170303694
890,-94.1741175237622
900,-93.2985995948163
910,-92.1727548726364
920,-91.1266237527234
930,-90.4499942939078
940,-90.0226363811953
950,-89.8831366788258
960,-90.1969356750805
970,-90.6385754972019
980,-90.8135126630628
990,-90.8513163010256
1000,-90.5176801350814
1010,-89.4656523077546
1020,-88.0882524431732
1030,-87.1761872034638
1040,-86.6952030917898
1050,-86.5234031940798
1060,-86.6659845544178
1070,-87.1164019232766
1080,-87.8003150916859
1090,-88.9506906744136
1100,-90.0541541850678
1110,-90.3348568224618
1120,-89.9183992156964
1130,-89.4600481223537
1140,-89.1739876011167
1150,-88.9697307639746
1160,-89.0885500350751
1170,-89.6416784454053
1180,-90.1474830536669
1190,-90.2390670733761
1200,-90.0807205282841
1210,-89.6883747539507
1220,-88.9063012430778
1230,-88.081546079614
1240,-87.6527354804398
1250,-87.499984428308
1260,-87.6255668106566
1270,-88.1012068554643
1280,-88.8347599926612
1290,-89.6771977186705
1300,-90.7857456907191
1310,-91.6260089998151
1320,-91.6166353024819
1330,-91.0730505372531
1340,-90.7274818286415
1350,-90.6457644038397
1360,-90.7625523915815
1370,-91.1920199755139
1380,-91.9172258092826
1390,-92.774810948009
1400,-93.7816074805766
1410,-94.8549998018448
1420,-95.721523386084
1430,-96.4083141468007
1440,-96.9409832664317
1450,-97.2973251084467
1460,-97.4938811620084
1470,-97.6108091877998
1480,-97.7089467158179
1490,-97.6525980432865
1500,-97.2445888470237
1510,-96.5103850693572
1520,-95.8432907134238
1530,-95.3756314617678
1540,-95.0283724309445
1550,-94.863949585708
1560,-94.9132887616704
1570,-95.0248462127401
1580,-95.1597124435505
1590,-95.3059145510237
1600,-95.1305545173256
1610,-94.4661934071139
1620,-93.6948965211824
1630,-93.1663441066896
1640,-92.7647730896917
1650,-92.6137672873958
1660,-92.8047969690833
1670,-93.236080158717
1680,-93.8140488870431
1690,-94.6104917784907
1700,-95.3640034554859
1710,-95.8660597707679
1720,-96.2265176196304
1730,-96.5107020678986
1740,-96.7075534232624
1750,-96.8454430163729
1760,-96.9760290734433
1770,-97.0871337647767
1780,-97.1296483043518
1790,-97.0603877412825
1800,-96.9329676501109
1810,-96.8146305547248
1820,-96.6752404324952
1830,-96.6012261805286
1840,-96.6656628143149
1850,-96.8279385424634
1860,-97.0436174448652
1870,-97.2977596453443
1880,-97.6280078712517
1890,-98.0975380604048
1900,-98.6956576782036
1910,-99.1702126095298
1920,-99.4500525113268
1930,-99.581494064181
1940,-99.5108940773153
1950,-99.1963977624672
1960,-98.8796649962685
1970,-98.7615867512467
1980,-98.7104354361812
1990,-98.5181950769925
2000,-98.1246895330631
2010,-97.6935502779616
2020,-97.3521158922158
2030,-97.0547584544945
2040,-96.8429692016054
2050,-96.7542063712961
2060,-96.7351920634183
2070,-96.7227862205531
2080,-96.7399383172429
2090,-96.7284444542805
2100,-96.625534075382
2110,-96.4777098208052
2120,-96.369326122138
2130,-96.2983786189325
2140,-96.2649787029829
2150,-96.2769250004511
2160,-96.330610497371
2170,-96.4709297815137
2180,-96.7733510602633
2190,-97.1120869066166
2200,-97.2939757747867
2210,-97.3493733954959
2220,-97.3090794362833
2230,-97.1507413006953
2240,-96.9059278511664
2250,-96.6924226339115
2260,-96.4999598450683
2270,-96.3463359559487
2280,-96.2738383868557
2290,-96.2654969325139
2300,-96.2851588279833
2310,-96.3375968826834
2320,-96.4057256966638
2330,-96.4428571263684
2340,-96.4524341707145
2350,-96.4673752849906
2360,-96.5368160459199
2370,-96.610916723304
2380,-96.5577723100904
2390,-96.3625807571719
2400,-96.0837053776468
2410,-95.7373519117694
2420,-95.3173000240625
2430,-94.9329012405717
2440,-94.5973446234482
2450,-94.312836777252
2460,-94.1123243460763
2470,-93.9776784386917
2480,-93.9868934888443
2490,-94.2461114601446
2500,-94.6513276860903
2510,-94.9711207147488
2520,-95.2342253355924
2530,-95.3890909868688
2540,-95.3250177080749
2550,-95.0872565861563
2560,-94.8498559746293
2570,-94.6626985083827
2580,-94.4650429182842
2590,-94.2203783694523
2600,-93.9319955618221
2610,-93.6304943635115
2620,-93.2879596597089
2630,-92.9521278317289
2640,-92.7849208488796
2650,-92.7812962000818
2660,-92.925239058312
2670,-93.2597711961093
2680,-93.7637056109892
2690,-94.2267457515318
2700,-94.6257304832307
2710,-94.9623936044707
2720,-95.1693952860136
2730,-95.257439630825
2740,-95.2649772477578
2750,-95.1754359385446
2760,-95.0250196136514
2770,-94.9428303926113
2780,-94.9402893886081
2790,-94.9478340052896
2800,-94.9298277196485
2810,-94.8993177593785
2820,-94.8065531256264
2830,-94.5927409677394
2840,-94.3746647219748
2850,-94.2959766883148
2860,-94.3293778278855
2870,-94.3939060955583
2880,-94.4695882413196
2890,-94.5553928339334
2900,-94.5860426480176
2910,-94.5444801964835
2920,-94.5080454765598
2930,-94.5775145062493
2940,-94.69993035326
2950,-94.648228493429
2960,-94.3682447723822
2970,-93.9410651249912
2980,-93.3979341957402
2990,-92.7163880858509
3000,-92.0154817186469
3010,-91.3213712616308
3020,-90.6414682078649
3030,-90.072864437877
3040,-89.5759545269205
3050,-89.2583803251398
3060,-89.2293682237521
3070,-89.4376715346039
3080,-89.8166960353449
3090,-90.4215332317549
3100,-91.1155763408217
3110,-91.7288096439413
3120,-92.3262315257737
3130,-92.7367259755398
3140,-92.8147482720182
3150,-92.7122070903452
3160,-92.6546047602827
3170,-92.6276587224423
3180,-92.5913966789174
3190,-92.5165732246244
3200,-92.4226369763024
3210,-92.4156392625884
3220,-92.5461400773334
3230,-92.711977665748
3240,-92.8114992309966
3250,-92.8725175000277
3260,-92.9060490069576
3270,-92.9082722415278
3280,-92.8865035514849
3290,-92.8568801599168
3300,-92.8185254060062
3310,-92.7677716293649
3320,-92.6903206249366
3330,-92.597550083922
3340,-92.5489282582817
3350,-92.5511940079516
3360,-92.5942828598694
3370,-92.6782693987615
3380,-92.8042474618402
3390,-92.9592770900105
3400,-93.2038264130687
3410,-93.4339117399083
3420,-93.4094729371177
3430,-93.1080923661496
3440,-92.7512810338421
3450,-92.4660476428252
3460,-92.1962241899522
3470,-92.0034422336802
3480,-91.9246819219476
3490,-91.8744258447225
3500,-91.749768684249
3510,-91.5729363104784
3520,-91.4673303845652
3530,-91.5066852578937
3540,-91.6086237169941
3550,-91.6652376738355
3560,-91.6703413601719
3570,-91.717164425218
3580,-91.8967662799481
3590,-92.1478973456497
3600,-92.3076131238747
3610,-92.3138070151457
3620,-92.3137813503888
3630,-92.4543296863187
3640,-92.6951077716222
3650,-92.9352179509258
3660,-93.1484949127826
3670,-93.349301858448
3680,-93.5266295379175
3690,-93.705634475414
3700,-93.7806124551513
3710,-93.6246016338846
3720,-93.329256049239
3730,-93.1324905304336
3740,-93.0632717043434
3750,-93.0508256786999
3760,-93.0652828017372
3770,-93.117230557882
3780,-93.1962912903105
3790,-93.3198318587892
3800,-93.45415948364
3810,-93.5268313435447
3820,-93.5366509260047
3830,-93.5519479119186
3840,-93.6343631536655
3850,-93.738976862226
3860,-93.7638200875933
3870,-93.6806383646294
3880,-93.565322950323
3890,-93.4732835875832
3900,-93.3824527402965
3910,-93.3312234153681
3920,-93.3512263337312
3930,-93.398286167852
3940,-93.4051655894048
3950,-93.3664607606091
3960,-93.3625203621282
3970,-93.4749426716548
3980,-93.6390640877603
3990,-93.7001435453979
4000,-93.6171295859249
4010,-93.5096721024261
4020,-93.4828716000616
4030,-93.501559956231
4040,-93.5002641120755
4050,-93.4366483175968
4060,-93.3651968819592
4070,-93.3549769140633
4080,-93.4033831255206
4090,-93.4500900366357
4100,-93.4541544311525
4110,-93.4464586311188
4120,-93.468189666149
4130,-93.5474869497546
4140,-93.5964262274383
4150,-93.5116111938983
4160,-93.329269998776
4170,-93.1934972192025
4180,-93.1748845334925
4190,-93.1787727472524
4200,-93.1061418495064
4210,-92.9728221911961
4220,-92.8037102972441
4230,-92.5609132667017
4240,-92.2974327643848
4250,-92.2094522946287
4260,-92.35610301209
4270,-92.5407833773381
4280,-92.5781313574459
4290,-92.5386757490482
4300,-92.5777707835029
4310,-92.7395607875189
4320,-92.9751259500895
4330,-93.2757731639525
4340,-93.6709296740904
4350,-93.9932739609991
4360,-94.1376627108394
4370,-94.1727918713126
4380,-94.1294882779859
4390,-93.9785256748137
4400,-93.8032872395727
4410,-93.6823925269003
4420,-93.585322781427
4430,-93.5263466780034
4440,-93.535058373042
4450,-93.556903552351
4460,-93.5114000567932
4470,-93.4079621175582
4480,-93.3021422993926
4490,-93.2261267137364
4500,-93.1563904007344
4510,-93.0517265757978
4520,-92.8733073299756
4530,-92.7490927477555
4540,-92.8067237254099
4550,-92.9930236058201
4560,-93.1918623122191
4570,-93.3987039075265
4580,-93.601480027932
4590,-93.7485946196966
4600,-93.8508500343289
4610,-93.9150922681594
4620,-93.9285853791107
4630,-93.9096640250486
4640,-93.9074662522944
4650,-93.9174335445937
4660,-93.9391140609416
4670,-93.975796190999
4680,-94.0266651777985
4690,-94.1034542880613
4700,-94.2161742183816
4710,-94.3462936470701
4720,-94.4721288236621
4730,-94.5996942368024
4740,-94.7217636035853
4750,-94.8540709549412
4760,-94.9705151515668
4770,-94.9931322899623
4780,-94.9085995228236
4790,-94.7861968972072
4800,-94.6666303085926
4810,-94.5338688044708
4820,-94.4261427201349
4830,-94.3420026487745
4840,-94.2892382545929
4850,-94.2926678041858
4860,-94.3496730314695
4870,-94.4309117641395
4880,-94.5241565473008
4890,-94.6344713269235
4900,-94.7531515805949
4910,-94.8813316182179
4920,-95.0184336624455
4930,-95.1788621604951
4940,-95.3528334154359
4950,-95.4547161425726
4960,-95.4745965968119
4970,-95.4236571323805
4980,-95.2645751368595
4990,-94.9880044361236
5000,-94.7408393037208
5010,-94.5942796984707
5020,-94.4953733246062
5030,-94.4065607474383
5040,-94.3163132491994
5050,-94.2768798906974
5060,-94.3298859312259
5070,-94.4554828783573
5080,-94.6312729993037
5090,-94.898587784378
5100,-95.1591081981992
5110,-95.2683501895032
5120,-95.2539611400344
5130,-95.2552160685043
5140,-95.3509611990923
5150,-95.4662612911602
5160,-95.5125610314187
5170,-95.479919306614
5180,-95.4480246886867
5190,-95.4720564627665
5200,-95.5254079942923
5210,-95.5926186663895
5220,-95.6929835135666
5230,-95.7794840043707
5240,-95.7907581035499
5250,-95.7425739569252
5260,-95.6593152587924
5270,-95.5242823169498
5280,-95.3716916163586
5290,-95.2860237380981
5300,-95.2674387762396
5310,-95.269926536035
5320,-95.2591012367857
5330,-95.2548383793839
5340,-95.2952949083281
5350,-95.3939393763609
5360,-95.524670974363
5370,-95.6848398179773
5380,-95.8854913034758
5390,-95.9791713689095
5400,-95.8738094429498
5410,-95.6702567903002
5420,-95.4811844059233
5430,-95.2735552130454
5440,-95.1185880756518
5450,-95.0890784601684
5460,-95.1413566380999
5470,-95.2196165440746
5480,-95.3228609027767
5490,-95.4504194577822
5500,-95.5951141460379
5510,-95.7609103088937
5520,-95.9283739934708
5530,-96.0891201912515
5540,-96.2510935655953
5550,-96.4288441815618
5560,-96.6460170146869
5570,-96.7863315959505
5580,-96.7500463007156
5590,-96.5983596285111
5600,-96.4182893963197
5610,-96.1819708069982
5620,-95.9608627335957
5630,-95.8461132425786
5640,-95.8067856756397
5650,-95.8588620530339
5660,-96.0537547935591
5670,-96.3088133989725
5680,-96.488358961928
5690,-96.6185191108402
5700,-96.6841852979021
5710,-96.6407595635192
5720,-96.5271112944384
5730,-96.441206164279
5740,-96.3548513949095
5750,-96.3327615909864
5760,-96.4878729679168
5770,-96.7915049772341
5780,-97.0293176326275
5790,-97.1043748976717
5800,-97.1210221701326
5810,-97.1709221028725
5820,-97.2441326254663
5830,-97.3095271057842
5840,-97.3555477093765
5850,-97.3872550899663
5860,-97.3941969017415
5870,-97.3637360489131
5880,-97.3341405292547
5890,-97.3613476662677
5900,-97.432291345409
5910,-97.4188484617027
5920,-97.2191961235822
5930,-96.9783352941154
5940,-96.8942483708193
5950,-96.9547763217421
5960,-97.0237570330768
5970,-97.0306552082035
5980,-97.0142226539258
5990,-96.9749807428288
6000,-96.9056512052593
6010,-96.8256378043449
6020,-96.7556740637003
6030,-96.6886721429605
6040,-96.610933519667
6050,-96.4988534400859
6060,-96.3920453751656
6070,-96.3535436614417
6080,-96.3790834599439
6090,-96.4247195556929
6100,-96.4857852919978
6110,-96.5528445698425
6120,-96.5502720493678
6130,-96.4436020319512
6140,-96.3426832700968
6150,-96.3334482517282
6160,-96.3828939549954
6170,-96.5329701781455
6180,-96.8336200850649
6190,-97.2008894921118
6200,-97.5163355365971
6210,-97.8000602059465
6220,-98.0720741699662
6230,-98.372535155796
6240,-98.6531586369749
6250,-98.769154159389
6260,-98.6972624674544
6270,-98.5297445934423
6280,-98.3283517496066
6290,-98.0688631278688
6300,-97.7693954814047
6310,-97.3898954753334
6320,-97.0139416266122
6330,-96.776158620971
6340,-96.6544312972043
6350,-96.6012423499525
6360,-96.5910079317718
6370,-96.6433823321568
6380,-96.7841631549049
6390,-97.0285583789102
6400,-97.3212301469701
6410,-97.6429290374364
6420,-97.9983581304276
6430,-98.2318221691164
6440,-98.246141699222
6450,-98.2056005772937
6460,-98.3093416079824
6470,-98.5283740004654
6480,-98.7393044840527
6490,-98.879984904584
6500,-98.9926163252886
6510,-99.1070577331033
6520,-99.2274803584874
6530,-99.3342235190346
6540,-99.4153279150162
6550,-99.4750577321767
6560,-99.4999630304453
6570,-99.4954048885928
6580,-99.4482839557284
6590,-99.3308901245177
6600,-99.1432785734933
6610,-98.9363783394492
6620,-98.7308945468471
6630,-98.5158799059089
6640,-98.2933281108895
6650,-98.03033585043
6660,-97.8351935241279
6670,-97.8173499815007
6680,-97.9276464236181
6690,-98.0682475467061
6700,-98.2378421756659
6710,-98.4168860130862
6720,-98.5393546153816
6730,-98.6129661484571
6740,-98.7152878788501
6750,-98.8845955093142
6760,-99.091470052334
6770,-99.3211928455944
6780,-99.5943475583842
6790,-99.845577548853
6800,-100.014177627779
6810,-100.12764063125
6820,-100.212212774115
6830,-100.27458811768
6840,-100.303701356637
6850,-100.290645459176
6860,-100.237982244879
6870,-100.149578561902
6880,-100.07360120565
6890,-99.9386402732784
6900,-99.5588544282975
6910,-98.8684543101353
6920,-98.1856271889442
6930,-97.7392604367823
6940,-97.4248058673414
6950,-97.2399911464356
6960,-97.2175909914643
6970,-97.2850928773681
6980,-97.3607202961392
6990,-97.4756919556859
7000,-97.560975991111
7010,-97.5648548498517
7020,-97.5365955869072
7030,-97.5298055491259
7040,-97.5288845888195
7050,-97.5735229998077
7060,-97.7167449815463
7070,-97.9257560377492
7080,-98.1012932507921
7090,-98.2277671007728
7100,-98.3320786187949
7110,-98.4254478867447
7120,-98.5053086787551
7130,-98.5615835795861
7140,-98.5615523737204
7150,-98.55565721609
7160,-98.6530520972437
7170,-98.8956081953965
7180,-99.0589578251259
7190,-98.9451678641238
7200,-98.6674806000079
7210,-98.4322625254071
7220,-98.2878437883747
7230,-98.1342823847075
7240,-97.8642972758849
7250,-97.4915927565697
7260,-97.2439806162007
7270,-97.2307687015901
7280,-97.3469854631007
7290,-97.5049214575785
7300,-97.7404602557733
7310,-97.9559855720757
7320,-98.0647594468783
7330,-98.1140175326664
7340,-98.149111778239
7350,-98.1976828862822
7360,-98.195919249732
7370,-98.0633670491199
7380,-97.8194034072014
7390,-97.5816966620796
7400,-97.371714996239
7410,-97.1866604653525
7420,-97.0771750178939
7430,-97.0440399663261
7440,-97.0474737886189
