5.3733E+06 	5.3728E+06 	5.3789E+06 	5.3770E+06 	5.3786E+06 	5.3739E+06 	5.3768E+06 	5.3665E+06 	5.3701E+06 	5.3581E+06 	5.3546E+06 	5.3493E+06 	5.3395E+06 	5.3364E+06 	5.3506E+06 	5.3577E+06 	5.3641E+06 	5.3642E+06 	5.3635E+06 	5.3748E+06 	5.3715E+06 	5.3770E+06 	5.3761E+06 	5.3805E+06 	
5.4006E+06 	5.3934E+06 	5.3896E+06 	5.3913E+06 	5.3974E+06 	5.3945E+06 	5.3916E+06 	5.3875E+06 	5.3798E+06 	5.3731E+06 	5.3644E+06 	5.3552E+06 	5.3538E+06 	5.3635E+06 	5.3627E+06 	5.3702E+06 	5.3709E+06 	5.3748E+06 	5.3872E+06 	5.3805E+06 	5.3779E+06 	5.3916E+06 	5.3799E+06 	5.3792E+06 	
5.3969E+06 	5.3982E+06 	5.3883E+06 	5.3927E+06 	5.3942E+06 	5.3927E+06 	5.3967E+06 	5.3884E+06 	5.3844E+06 	5.3793E+06 	5.3687E+06 	5.3619E+06 	5.3616E+06 	5.3653E+06 	5.3644E+06 	5.3718E+06 	5.3764E+06 	5.3772E+06 	5.3856E+06 	5.3809E+06 	5.3874E+06 	5.3769E+06 	5.3801E+06 	5.3778E+06 	
5.3922E+06 	5.3929E+06 	5.3955E+06 	5.3936E+06 	5.3937E+06 	5.3985E+06 	5.3945E+06 	5.3903E+06 	5.3895E+06 	5.3836E+06 	5.3739E+06 	5.3671E+06 	5.3629E+06 	5.3627E+06 	5.3692E+06 	5.3766E+06 	5.3795E+06 	5.3840E+06 	5.3852E+06 	5.3866E+06 	5.3790E+06 	5.3901E+06 	5.3767E+06 	5.3764E+06 	
5.3823E+06 	5.3840E+06 	5.3804E+06 	5.3855E+06 	5.3872E+06 	5.3847E+06 	5.3908E+06 	5.3890E+06 	5.3856E+06 	5.3791E+06 	5.3740E+06 	5.3652E+06 	5.3593E+06 	5.3630E+06 	5.3722E+06 	5.3754E+06 	5.3804E+06 	5.3802E+06 	5.3794E+06 	5.3807E+06 	5.3809E+06 	5.3756E+06 	5.3735E+06 	5.3769E+06 	
5.3787E+06 	5.3807E+06 	5.3780E+06 	5.3801E+06 	5.3880E+06 	5.3883E+06 	5.3877E+06 	5.3906E+06 	5.3907E+06 	5.3795E+06 	5.3754E+06 	5.3673E+06 	5.3629E+06 	5.3642E+06 	5.3628E+06 	5.3717E+06 	5.3819E+06 	5.3806E+06 	5.3801E+06 	5.3807E+06 	5.3792E+06 	5.3751E+06 	5.3737E+06 	5.3747E+06 	
5.3835E+06 	5.3782E+06 	5.3685E+06 	5.3772E+06 	5.3863E+06 	5.3916E+06 	5.3917E+06 	5.3903E+06 	5.3897E+06 	5.3830E+06 	5.3744E+06 	5.3711E+06 	5.3671E+06 	5.3646E+06 	5.3677E+06 	5.3722E+06 	5.3804E+06 	5.3786E+06 	5.3825E+06 	5.3779E+06 	5.3779E+06 	5.3744E+06 	5.3682E+06 	5.3658E+06 	
5.3961E+06 	5.3852E+06 	5.3796E+06 	5.3736E+06 	5.3802E+06 	5.3797E+06 	5.3847E+06 	5.3871E+06 	5.3854E+06 	5.3812E+06 	5.3730E+06 	5.3661E+06 	5.3618E+06 	5.3618E+06 	5.3658E+06 	5.3733E+06 	5.3755E+06 	5.3785E+06 	5.3758E+06 	5.3775E+06 	5.3754E+06 	5.3672E+06 	5.3656E+06 	5.3721E+06 	
5.3970E+06 	5.3934E+06 	5.3809E+06 	5.3823E+06 	5.3803E+06 	5.3762E+06 	5.3809E+06 	5.3858E+06 	5.3805E+06 	5.3804E+06 	5.3750E+06 	5.3659E+06 	5.3637E+06 	5.3614E+06 	5.3653E+06 	5.3681E+06 	5.3732E+06 	5.3775E+06 	5.3743E+06 	5.3774E+06 	5.3595E+06 	5.3751E+06 	5.3769E+06 	5.3857E+06 	
5.4043E+06 	5.4010E+06 	5.3920E+06 	5.3924E+06 	5.3858E+06 	5.3826E+06 	5.3844E+06 	5.3835E+06 	5.3798E+06 	5.3836E+06 	5.3700E+06 	5.3688E+06 	5.3704E+06 	5.3645E+06 	5.3701E+06 	5.3698E+06 	5.3656E+06 	5.3757E+06 	5.3661E+06 	5.3763E+06 	5.3699E+06 	5.3783E+06 	5.3809E+06 	5.3819E+06 	
5.3995E+06 	5.4012E+06 	5.3968E+06 	5.3912E+06 	5.3938E+06 	5.3827E+06 	5.3770E+06 	5.3731E+06 	5.3690E+06 	5.3716E+06 	5.3598E+06 	5.3589E+06 	5.3555E+06 	5.3547E+06 	5.3600E+06 	5.3636E+06 	5.3628E+06 	5.3669E+06 	5.3692E+06 	5.3778E+06 	5.3766E+06 	5.3857E+06 	5.3799E+06 	5.3910E+06 	
5.3968E+06 	5.3965E+06 	5.3880E+06 	5.3880E+06 	5.3853E+06 	5.3822E+06 	5.3816E+06 	5.3708E+06 	5.3672E+06 	5.3568E+06 	5.3528E+06 	5.3466E+06 	5.3399E+06 	5.3379E+06 	5.3478E+06 	5.3484E+06 	5.3610E+06 	5.3662E+06 	5.3644E+06 	5.3716E+06 	5.3708E+06 	5.3677E+06 	5.3782E+06 	5.3786E+06 	
