5.00e+00 & 1.21e+15 & 2.49e+02 & 4.02e+04 & 5.80e+04 & 2.20e+03 \\ 
3.11e+00 & 7.50e+14 & 4.00e+02 & 2.50e+04 & 3.60e+04 & 1.37e+03 \\ 
1.68e+00 & 4.05e+14 & 7.40e+02 & 1.35e+04 & 1.95e+04 & 7.40e+02 \\ 
1.55e+00 & 3.75e+14 & 8.00e+02 & 1.25e+04 & 1.80e+04 & 6.85e+02 \\ 
1.00e+00 & 2.41e+14 & 1.24e+03 & 8.04e+03 & 1.16e+04 & 4.41e+02 \\ 
&&&&& \\ 
5.00e-01 & 1.21e+14 & 2.49e+03 & 4.02e+03 & 5.80e+03 & 2.20e+02 \\ 
1.00e-01 & 2.41e+13 & 1.24e+04 & 8.04e+02 & 1.16e+03 & 4.41e+01 \\ 
5.00e-02 & 1.21e+13 & 2.49e+04 & 4.02e+02 & 5.80e+02 & 2.20e+01 \\ 
2.59e-02 & 6.24e+12 & 4.80e+04 & 2.08e+02 & 3.00e+02 & 1.14e+01 \\ 
2.27e-02 & 5.48e+12 & 5.48e+04 & 1.83e+02 & 2.63e+02 & 1.00e+01 \\ 
&&&&& \\ 
1.00e-02 & 2.41e+12 & 1.24e+05 & 8.04e+01 & 1.16e+02 & 4.41e+00 \\ 
5.00e-03 & 1.21e+12 & 2.49e+05 & 4.02e+01 & 5.80e+01 & 2.20e+00 \\ 
4.14e-03 & 1.00e+12 & 3.00e+05 & 3.33e+01 & 4.80e+01 & 1.83e+00 \\ 
2.27e-03 & 5.48e+11 & 5.48e+05 & 1.83e+01 & 2.63e+01 & 1.00e+00 \\ 
1.00e-03 & 2.41e+11 & 1.24e+06 & 8.04e+00 & 1.16e+01 & 4.41e-01 \\ 
&&&&& \\ 
5.00e-04 & 1.21e+11 & 2.49e+06 & 4.02e+00 & 5.80e+00 & 2.20e-01 \\ 
3.45e-04 & 8.33e+10 & 3.60e+06 & 2.78e+00 & 4.00e+00 & 1.52e-01 \\ 
1.24e-04 & 3.00e+10 & 1.00e+07 & 1.00e+00 & 1.44e+00 & 5.48e-02 \\ 
1.00e-04 & 2.41e+10 & 1.24e+07 & 8.04e-01 & 1.16e+00 & 4.41e-02 \\ 
5.00e-05 & 1.21e+10 & 2.49e+07 & 4.02e-01 & 5.80e-01 & 2.20e-02 \\ 
&&&&& \\ 
1.00e-05 & 2.41e+09 & 1.24e+08 & 8.04e-02 & 1.16e-01 & 4.41e-03 \\ 
5.00e-06 & 1.21e+09 & 2.49e+08 & 4.02e-02 & 5.80e-02 & 2.20e-03 \\ 
4.14e-06 & 1.00e+09 & 3.00e+08 & 3.33e-02 & 4.80e-02 & 1.83e-03 \\ 
1.00e-06 & 2.41e+08 & 1.24e+09 & 8.04e-03 & 1.16e-02 & 4.41e-04 \\ 
5.00e-07 & 1.21e+08 & 2.49e+09 & 4.02e-03 & 5.80e-03 & 2.20e-04 \\ 
&&&&& \\ 
1.00e-07 & 2.41e+07 & 1.24e+10 & 8.04e-04 & 1.16e-03 & 4.41e-05 \\ 
5.00e-08 & 1.21e+07 & 2.49e+10 & 4.02e-04 & 5.80e-04 & 2.20e-05 \\ 
1.00e-08 & 2.41e+06 & 1.24e+11 & 8.04e-05 & 1.16e-04 & 4.41e-06 \\ 
5.00e-09 & 1.21e+06 & 2.49e+11 & 4.02e-05 & 5.80e-05 & 2.20e-06 \\ 
4.14e-09 & 1.00e+06 & 3.00e+11 & 3.33e-05 & 4.80e-05 & 1.83e-06 \\ 
&&&&& \\ 
1.00e-09 & 2.41e+05 & 1.24e+12 & 8.04e-06 & 1.16e-05 & 4.41e-07 \\ 
