Logfile created: Tue Jul 28 17:11:52 2020

SpinAPI version: 20150129_x86_64
Current Board #: 0
================================================================================================
TIME     FUNCTION                  MESSAGE   
================================================================================================
17:11:52 os_count_boards          Registering WinDriver...
17:11:52 RegisterWinDriver        Using WinDriver version 1031.
17:11:52 RegisterWinDriver        lic.dwLicense:  0x2051dfc
17:11:52 RegisterWinDriver        lic.dwLicense2: 0x88
17:11:52 RegisterWinDriver        license setup succeeded
17:11:52 os_usb_count_devices     os_usb_count_devices: Enumerating USB Devices...

17:11:52 os_usb_count_devices     os_usb_count_devices: Enumeration Completed. Found 0 Devices.

17:11:52 pb_count_boards          pb_count_boards(): Detected 1 boards in your system.

17:11:52 pb_init                  Entering pb_init. cur_board = 0

17:11:52 os_usb_count_devices     os_usb_count_devices: Enumerating USB Devices...

17:11:52 os_usb_count_devices     os_usb_count_devices: Enumeration Completed. Found 0 Devices.

17:11:52 pb_count_boards          pb_count_boards(): Detected 1 boards in your system.

17:11:52 do_os_init               do_os_init: board # 0

17:11:52 do_os_init               do_os_init: num_pci_boards: 1

17:11:52 do_os_init               do_os_init: num_usb_devices: 0

17:11:52 do_os_init               do_os_init: initializing pci

17:11:52 os_init                  card_num: 0

17:11:52 os_init                  PciScanCards found 1 SpinCore cards, 0 other cards.
17:11:52 os_init                  Support:

17:11:52 os_init                  	5920
17:11:52 os_init                  	8852
17:11:52 os_init                  	8873
17:11:52 os_init                  	8874
17:11:52 os_init                  	8875
17:11:52 os_init                  	8876
17:11:52 os_init                  	8878
17:11:52 os_init                  	8879
17:11:52 os_init                  	8890
17:11:52 os_init                  	887A
17:11:52 os_init                  	887C
17:11:52 get_caps                 dev_id=0x8878
17:11:52 get_caps                 Detected PulseBlasterESR board (r 0x110b)
17:11:52 pb_reset                 pb_reset():
17:11:52 pb_outp                   pb_outp: addr 0, data 0. Using the direct protocol.
17:11:52 pb_outp                   pb_outp: addr 2, data ff. Using the direct protocol.
17:11:52 pb_outp                   pb_outp: addr 3, data ff. Using the direct protocol.
17:11:52 pb_outp                   pb_outp: addr 4, data ff. Using the direct protocol.
17:11:52 pb_outp                   pb_outp: addr 7, data 0. Using the direct protocol.
17:11:52 pb_start_programming     pb_start_programming (device=0)
17:11:52 pb_start_programming     pb_start_programming: reset

17:11:52 pb_outp                   pb_outp: addr 0, data 0. Using the direct protocol.
17:11:52 pb_outp                   pb_outp: addr 2, data a. Using the direct protocol.
17:11:52 pb_outp                   pb_outp: addr 3, data 0. Using the direct protocol.
17:11:52 pb_outp                   pb_outp: addr 4, data 0. Using the direct protocol.
17:11:52 pb_inst_dds2             pb_inst_dds2: Your current board does not support this function. Please check your manual.

17:11:52 pb_inst_dds2             pb_inst_dds2: Your current board does not support this function. Please check your manual.

17:11:52 pb_stop_programming      pb_stop_programming: (device=0)
17:11:52 pb_outp                   pb_outp: addr 7, data 0. Using the direct protocol.
17:11:52 pb_start                 pb_start():
17:11:52 pb_outp                   pb_outp: addr 1, data 0. Using the direct protocol.
17:11:57 pb_stop                  pb_stop():
17:11:57 pb_outp                   pb_outp: addr 0, data 0. Using the direct protocol.
17:11:57 pb_outp                   pb_outp: addr 2, data ff. Using the direct protocol.
17:11:57 pb_outp                   pb_outp: addr 3, data ff. Using the direct protocol.
17:11:57 pb_outp                   pb_outp: addr 4, data ff. Using the direct protocol.
17:11:57 pb_outp                   pb_outp: addr 7, data 0. Using the direct protocol.
17:11:57 do_os_close              do_os_close: closing pci

